base64id,1.0.0,Unknown,MIT
batch,0.6.1,Unknown,MIT
bcrypt-pbkdf,1.0.2,Unknown,New BSD
beeper,1.1.1,sindresorhus.com,MIT
better-assert,1.0.2,Unknown,MIT
big.js,3.2.0,Unknown,MIT
binary-extensions,1.12.0,sindresorhus.com,MIT
bindex,0.5.0,https://github.com/gsamokovarov/bindex,MIT
binding_of_caller,0.8.0,http://github.com/banister/binding_of_caller,MIT
bl,1.2.2,https://github.com/rvagg/bl,MIT
blob,0.0.4,https://github.com/rase-/blob,MIT*
block-stream,0.0.9,http://blog.izs.me/,ISC
bluebird,3.5.2,https://github.com/petkaantonov/bluebird,MIT
bn.js,4.11.8,https://github.com/indutny/bn.js,MIT
body-parser,1.18.3,Unknown,MIT
bonjour,3.5.0,https://github.com/watson/bonjour,MIT
boolbase,1.0.0,https://github.com/fb55/boolbase,ISC
bootstrap,3.3.7,http://getbootstrap.com/,MIT
bootstrap-accessibility-plugin,1.0.6,https://github.com/paypal/bootstrap-accessibility-plugin,New BSD
brace-expansion,1.1.11,https://github.com/juliangruber/brace-expansion,MIT
braces,0.1.5,https://github.com/jonschlinkert/braces,MIT
braces,1.8.5,https://github.com/jonschlinkert/braces,MIT
braces,2.3.2,https://github.com/micromatch/braces,MIT
brorand,1.1.0,https://github.com/indutny/brorand,MIT
browser-pack,6.1.0,https://github.com/browserify/browser-pack,MIT
browser-resolve,1.11.3,Unknown,MIT
browserify,14.5.0,http://substack.net,MIT
browserify-aes,1.2.0,https://github.com/crypto-browserify/browserify-aes,MIT
browserify-cipher,1.0.1,Unknown,MIT
browserify-des,1.0.2,https://github.com/crypto-browserify/browserify-des#readme,MIT
browserify-rsa,4.0.1,Unknown,MIT
browserify-sign,4.0.4,Unknown,ISC
browserify-zlib,0.2.0,https://github.com/devongovett/browserify-zlib,MIT
browserslist,1.7.7,Unknown,MIT
browserslist,2.11.3,Unknown,MIT
browserslist,3.2.8,Unknown,MIT
buffer,4.9.1,https://github.com/feross/buffer,MIT
buffer,5.2.1,https://github.com/feross/buffer,MIT
buffer-alloc,1.2.0,Unknown,MIT
buffer-alloc-unsafe,1.1.0,Unknown,MIT
buffer-fill,1.0.0,Unknown,MIT
buffer-from,1.1.1,Unknown,MIT
buffer-indexof,1.1.1,Unknown,MIT
buffer-xor,1.0.3,https://github.com/crypto-browserify/buffer-xor,MIT
builder,3.2.3,http://onestepback.org,MIT
builtin-modules,1.1.1,sindresorhus.com,MIT
builtin-status-codes,3.0.0,bendrucker.me,MIT
bundler,1.16.1,http://bundler.io,MIT
byebug,10.0.2,http://github.com/deivid-rodriguez/byebug,Simplified BSD
bytes,3.0.0,http://tjholowaychuk.com,MIT
cabin,0.9.0,https://github.com/jordansissel/ruby-cabin,Apache License (2.0)
cacache,10.0.4,Unknown,ISC
cache-base,1.0.1,https://github.com/jonschlinkert/cache-base,MIT
cached-path-relative,1.0.1,Unknown,MIT
caller-path,0.1.0,http://sindresorhus.com,MIT
callsite,1.0.0,Unknown,MIT*
callsites,0.2.0,http://sindresorhus.com,MIT
camelcase,1.2.1,http://sindresorhus.com,MIT
camelcase,2.1.1,http://sindresorhus.com,MIT
camelcase,3.0.0,http://sindresorhus.com,MIT
camelcase,4.1.0,sindresorhus.com,MIT
camelcase-css,1.0.1,https://github.com/stevenvachon/camelcase-css,MIT
camelcase-keys,2.1.0,http://sindresorhus.com,MIT
caniuse-api,1.6.1,Unknown,MIT
caniuse-db,1.0.30000903,Unknown,CC-BY-4.0
caniuse-lite,1.0.30000903,http://beneb.info,CC-BY-4.0
capybara,3.6.0,https://github.com/teamcapybara/capybara,MIT
capybara-accessible,0.2.1,https://github.com/Casecommons/capybara-accessible,MIT
capybara-screenshot,1.0.22,http://github.com/mattheworiordan/capybara-screenshot,MIT
